Model,Max memory.used [MB],Faketensor Estimate [MB],Max memory.used [GB],FakeTensor Estimation(GB),FakeTensor overhead,Execution time(m),Run folder,Time,Script,batch_size,epochs,GB after forward,GB after backward,Execution time(s),Execution time(h)
mobilenet_cifar100,598.0,25.908897399902344,0.583984375,0.025301657617092133,0.9534731572493911,0.4969476641776661,2025-09-22_08-53-28_mobilenet_cifar100.py_--batch_size_64_--epochs_1,2025-09-22_08-53-28,mobilenet_cifar100.py,,,0.023344337940216064,0.025301657617092133,29.816859850659966,0.008282461069627768
mobilenet_cifar100,632.0,49.126670837402344,0.6171875,0.047975264489650726,0.9364809934049845,0.3037925567943603,2025-09-22_08-54-02_mobilenet_cifar100.py_--batch_size_128_--epochs_1,2025-09-22_08-54-02,mobilenet_cifar100.py,,,0.04626208543777466,0.047975264489650726,18.227553407661617,0.0050632092799060046
mobilenet,3352.0,2425.279457092285,3.2734375,2.3684369698166847,0.6865558130666614,29.46505505760821,2025-09-22_08-54-24_mobilenet.py_--batch_size_32_--num_epochs_1,2025-09-22_08-54-24,mobilenet.py,,,2.3562214374542236,2.3684369698166847,1767.9033034564927,0.49108425096013686
mobilenet,6032.0,4845.542152404785,5.890625,4.731974758207798,0.6840712809935212,25.691635228072602,2025-09-22_09-23-55_mobilenet.py_--batch_size_64_--num_epochs_1,2025-09-22_09-23-55,mobilenet.py,,,4.712315797805786,4.731974758207798,1541.4981136843562,0.42819392046787674
mobilenet,11336.0,9686.067543029785,11.0703125,9.459050334990025,0.685097785666585,25.43661407044468,2025-09-22_09-49-40_mobilenet.py_--batch_size_128_--num_epochs_1,2025-09-22_09-49-40,mobilenet.py,,,9.424504518508911,9.459050334990025,1526.1968442266807,0.42394356784074466
resnet18_cifar100,788.0,53.994529724121094,0.76953125,0.052729032933712006,0.4771862952038646,0.4835110404994339,2025-09-22_10-15-10_resnet18_cifar100.py_--batch_size_32_--epochs_1,2025-09-22_10-15-10,resnet18_cifar100.py,,,0.014154434204101562,0.052729032933712006,29.010662429966033,0.008058517341657231
resnet18_cifar100,796.0,66.7567367553711,0.77734375,0.06519212573766708,0.47483511827886105,0.23196469022271535,2025-09-22_10-15-43_resnet18_cifar100.py_--batch_size_64_--epochs_1,2025-09-22_10-15-43,resnet18_cifar100.py,,,0.02808237075805664,0.06519212573766708,13.91788141336292,0.003866078170378589
resnet18_cifar100,858.0,93.2811508178711,0.837890625,0.09109487384557724,0.4799287570640445,0.16924036297326286,2025-09-22_10-16-01_resnet18_cifar100.py_--batch_size_128_--epochs_1,2025-09-22_10-16-01,resnet18_cifar100.py,,,0.0559382438659668,0.09109487384557724,10.154421778395772,0.002820672716221048
resnet34_cifar100,1002.0,94.2728500366211,0.978515625,0.09206333011388779,0.5889828745275736,0.8335270727984607,2025-09-22_10-16-15_resnet34_cifar100.py_--batch_size_32_--epochs_1,2025-09-22_10-16-15,resnet34_cifar100.py,,,0.020285606384277344,0.09206333011388779,50.01162436790764,0.013892117879974346
resnet34_cifar100,1016.0,110.7850570678711,0.9921875,0.10818853229284286,0.5866628400981426,0.43312742554893097,2025-09-22_10-17-09_resnet34_cifar100.py_--batch_size_64_--epochs_1,2025-09-22_10-17-09,resnet34_cifar100.py,,,0.04031705856323242,0.10818853229284286,25.987645532935858,0.007218790425815516
